comparison_set,window_start,window_end,n_events,mmd,mmd_squared,status
real_vs_real,255000,258000,6050,0.03254137913958547,0.0010589413563062483,ok
real_vs_real,258000,261000,5933,0.032787314347160215,0.0010750079820994979,ok
real_vs_real,261000,264000,6010,0.03256715928272427,0.0010606198637463336,ok
real_vs_real,264000,267000,5954,0.03321268477673548,0.0011030824300787966,ok
real_vs_real,267000,270000,5919,0.03321613681378294,0.001103311744831946,ok
real_vs_real,270000,273000,5758,0.033676443033449806,0.00113410281538519,ok
real_vs_real,273000,276000,5976,0.03428191442661941,0.0011752496567540563,ok
real_vs_real,276000,279000,5881,0.034624231123439556,0.0011988373808893603,ok
real_vs_real,279000,282000,5945,0.03378989500426282,0.0011417570043991054,ok
real_vs_real,282000,285000,6104,0.03400509611934729,0.001156346562086048,ok
real_vs_real,285000,288000,6035,0.0342534452735856,0.0011732985131105238,ok
real_vs_real,288000,291000,6337,0.03418776568870373,0.0011688033227857078,ok
real_vs_real,291000,294000,6448,0.034238879428094934,0.0011723008644916226,ok
real_vs_real,294000,297000,6321,0.03445807221870934,0.0011873587410297886,ok
real_vs_real,297000,300000,6335,0.03473206336112782,0.0012063162253213976,ok
real_vs_real,300000,303000,6289,0.03491432197367417,0.001219009878881387,ok
v2e_vs_real,3000,6000,11514,0.0341095985696216,0.001163464714580732,ok
v2e_vs_real,6000,9000,14718,0.033637799271215935,0.001131501539810615,ok
v2e_vs_real,9000,12000,17391,0.03283993437874287,0.001078461290000138,ok
v2e_vs_real,12000,15000,21817,0.03136488582025669,0.0009837560625177394,ok
v2e_vs_real,15000,18000,19951,0.03175140658616443,0.0010081518201999259,ok
v2e_vs_real,18000,21000,19038,0.031698709611827566,0.0010048081910549692,ok
v2e_vs_real,21000,24000,18763,0.03166373406055644,0.001002592054657642,ok
v2e_vs_real,24000,27000,19074,0.03155428055806292,0.0009956726215369477,ok
v2e_vs_real,27000,30000,18689,0.03143945354643774,0.0009884392392986168,ok
v2e_vs_real,30000,33000,18605,0.030628688448680615,0.0009381165560863413,ok
v2e_vs_real,33000,36000,18064,0.030485052770335846,0.0009293384424101612,ok
v2e_vs_real,36000,39000,17138,0.031226799600935672,0.0009751130133169963,ok
v2e_vs_real,39000,42000,21159,0.03076286318979103,0.0009463537516337999,ok
v2e_vs_real,42000,45000,19380,0.031591462420288714,0.000998020497852514,ok
v2e_vs_real,45000,48000,19725,0.03147615313191758,0.0009907482159839248,ok
v2e_vs_real,48000,51000,19687,0.031272701843944366,0.0009779818806202412,ok
v2e_vs_real,51000,54000,19499,0.03122988856486275,0.0009753059397737452,ok
v2e_vs_real,54000,57000,19556,0.03135624921002084,0.0009832143645209322,ok
v2e_vs_real,57000,60000,19401,0.03163896817459819,0.0010010243071532368,ok
v2e_vs_real,60000,63000,18726,0.031823328916146365,0.0010127242633052374,ok
v2e_vs_real,63000,66000,20948,0.030740269408527966,0.0009449641633088803,ok
v2e_vs_real,66000,69000,16541,0.031500974719640494,0.0009923114082874295,ok
v2e_vs_real,69000,72000,14987,0.031645571037157344,0.0010014421662677716,ok
v2e_vs_real,72000,75000,14933,0.031416127178664086,0.0009869730469059964,ok
v2e_vs_real,75000,78000,15539,0.031540265811987475,0.0009947883674908259,ok
v2e_vs_real,78000,81000,16387,0.03144547480862092,0.0009888178859396128,ok
v2e_vs_real,81000,84000,17292,0.03118467299883942,0.0009724838300445445,ok
v2e_vs_real,84000,87000,16856,0.03132090869595122,0.0009809993215401129,ok
v2e_vs_real,87000,90000,16556,0.03139023455231667,0.0009853468252494554,ok
v2e_vs_real,90000,93000,19275,0.031129174642957044,0.0009690255139517199,ok
v2e_vs_real,93000,96000,16278,0.032070508896886625,0.0010285175409052842,ok
v2e_vs_real,96000,99000,16195,0.03151143718980161,0.0009929706737668118,ok
v2e_vs_real,99000,102000,15705,0.031109675440018848,0.000967811905983312,ok
v2e_vs_real,102000,105000,15247,0.031301959027896474,0.0009798126389841094,ok
v2e_vs_real,105000,108000,15355,0.031087828664645243,0.0009664530910823383,ok
v2e_vs_real,108000,111000,15905,0.03127840652728267,0.000978338714885959,ok
v2e_vs_real,111000,114000,16021,0.031248410592702138,0.0009764631645700991,ok
v2e_vs_real,114000,117000,18849,0.030415166848772306,0.0009250823744386578,ok
v2e_vs_real,117000,120000,16219,0.03125148012043814,0.00097665500971814,ok
v2e_vs_real,120000,123000,15759,0.031567387022451876,0.0009964999234252632,ok
v2e_vs_real,123000,126000,15661,0.03219375563025699,0.0010364379015807038,ok
v2e_vs_real,126000,129000,15131,0.03192988578666901,0.0010195176063497278,ok
v2e_vs_real,129000,132000,15111,0.03172732913032806,0.0010066234137441636,ok
v2e_vs_real,132000,135000,15665,0.030311700730405188,0.0009187992011696464,ok
v2e_vs_real,135000,138000,14804,0.03116238689853787,0.0009710943572141648,ok
v2e_vs_real,138000,141000,17211,0.030766663800871934,0.0009465876014358836,ok
v2e_vs_real,141000,144000,15165,0.0316650188158561,0.001002673416608521,ok
v2e_vs_real,144000,147000,15646,0.031699771026137726,0.001004875483109561,ok
v2e_vs_real,147000,150000,16389,0.031457877307165344,0.0009895980446726685,ok
v2e_vs_real,150000,153000,16791,0.031236430447982588,0.0009757145871316537,ok
v2e_vs_real,153000,156000,17055,0.03122611362260572,0.0009750701719718825,ok
v2e_vs_real,156000,159000,16994,0.03142081849442133,0.0009872678348593698,ok
